region,sector,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cariboo,Accommodation,2017,750,750,750,1000,1250,1000,1250,500,750,250,500,1000
Cariboo,Accommodation,2018,750,1000,750,1250,1250,1250,1000,2000,1000,1000,1000,750
Cariboo,Accommodation,2019,750,1250,750,1500,1500,2000,2000,1250,2250,1750,1500,1250
Cariboo,Accommodation,2020,1250,1500,1250,750,2000,500,1000,750,1750,1500,1500,2250
Cariboo,Accommodation,2021,1750,2000,1500,1500,1250,1250,750,1000,250,1750,1250,1250
Cariboo,Accommodation,2022,500,750,,,,,,,,,,
Cariboo,FoodBeverage,2017,4000,3750,5750,5250,4750,4000,4500,4500,5000,4750,4000,4000
Cariboo,FoodBeverage,2018,4250,5750,6000,4750,4750,4250,5250,4500,3750,4500,5250,5750
Cariboo,FoodBeverage,2019,5250,4500,4000,3500,4500,5000,5250,4250,4000,4000,3250,5000
Cariboo,FoodBeverage,2020,4750,5250,3000,2000,2750,2750,2750,2500,3250,2000,2250,4000
Cariboo,FoodBeverage,2021,3500,4250,3500,4250,5750,6000,4250,5500,4750,3750,5000,5000
Cariboo,FoodBeverage,2022,6500,4500,,,,,,,,,,
Cariboo,RecreationEnter,2017,1000,1500,1750,1250,2500,2500,3250,2250,2500,2250,2000,2000
Cariboo,RecreationEnter,2018,1250,1750,1250,1500,1500,1250,1250,1500,2250,2000,1500,1250
Cariboo,RecreationEnter,2019,1250,1750,1500,1250,1500,1500,1750,1750,1750,2000,1000,1500
Cariboo,RecreationEnter,2020,1750,2500,1250,500,750,750,1250,3250,2000,1500,1250,1000
Cariboo,RecreationEnter,2021,1000,1000,1250,1500,1500,750,750,"750	",1000,1500,2000,2750
Cariboo,RecreationEnter,2022,2250,2250,,,,,,,,,,
Cariboo,Transportation & Travel,2017,1000,750,750,1250,1250,1000,2000,1500,1500,1500,1500,1500
Cariboo,Transportation & Travel,2018,1750,1250,1500,750,750,1000,1000,1250,1750,1500,1750,1500
Cariboo,Transportation & Travel,2019,2250,1750,1500,2000,500,1500,1000,1250,1500,1500,2500,2750
Cariboo,Transportation & Travel,2020,2750,1750,1500,1500,1750,1500,1000,1750,1250,1750,1500,2500
Cariboo,Transportation & Travel,2021,3250,2500,2000,1500,1000,1250,250,500,500,500,1250,1250
Cariboo,Transportation & Travel,2022,1250,1000,,,,,,,,,,
Cariboo,Tourism,2017,6750,6750,9000,8750,9750,8500,10750,8750,9750,8750,8000,8500
Cariboo,Tourism,2018,8000,9750,9500,8250,8250,7750,8500,9250,8750,9000,9500,9250
Cariboo,Tourism,2019,9500,9250,7750,8250,8000,10000,10000,8500,9500,9250,8250,10500
Cariboo,Tourism,2020,10500,11000,7000,5250,7250,5500,6000,8250,8250,6750,6500,9750
Cariboo,Tourism,2021,9500,9750,8250,8750,9500,9250,6000,7750,6500,7500,9500,10250
Cariboo,Tourism,2022,10500,8500,,,,,,,,,,
LowerMain,Accommodation,2017,17750,18000,16250,18250,19000,20750,22750,22000,23000,18750,19000,17000
LowerMain,Accommodation,2018,19250,16250,13750,18000,20000,13500,12500,16750,15500,12250,15500,15000
LowerMain,Accommodation,2019,25000,20500,20500,18500,19000,13500,12500,12750,12750,20000,12750,13750
LowerMain,Accommodation,2020,13750,14000,11750,3000,6750,9250,8750,12000,13500,11000,19000,17000
LowerMain,Accommodation,2021,14250,11750,15000,17500,9250,17250,20000,26000,21000,19000,15750,16000
LowerMain,Accommodation,2022,12750,7500,,,,,,,,,,
LowerMain,FoodBeverage,2017,93250,89500,82000,92500,92250,99000,99750,92000,86500,90750,90250,94500
LowerMain,FoodBeverage,2018,88750,96250,100500,99750,105000,116750,108500,108500,111000,110250,108000,108750
LowerMain,FoodBeverage,2019,99000,100750,95250,98000,95250,91500,95750,91750,90250,96750,96000,110000
LowerMain,FoodBeverage,2020,96500,101500,71750,51500,52500,89750,101750,110000,109000,108750,106500,100500
LowerMain,FoodBeverage,2021,95750,87250,80500,63000,67250,84750,83750,90750,85500,82750,84750,92000
LowerMain,FoodBeverage,2022,89250,96000,,,,,,,,,,
LowerMain,RecreationEnter,2017,65250,64500,72250,65250,69000,75000,73000,74000,74250,69250,72500,74500
LowerMain,RecreationEnter,2018,67000,58500,58500,61250,62000,61000,66000,63250,59500,54500,62000,58500
LowerMain,RecreationEnter,2019,58750,71750,72250,62500,59750,69750,69750,64750,52500,55000,65000,59750
LowerMain,RecreationEnter,2020,59750,57250,50750,37250,42500,43750,47500,42750,56000,60250,57500,55000
LowerMain,RecreationEnter,2021,51750,55250,57500,42500,49500,57500,50750,61250,50250,"52500	",53000,55500
LowerMain,RecreationEnter,2022,46000,60750,,,,,,,,,,
LowerMain,Transportation & Travel,2017,44250,44500,48500,44250,56750,55500,56500,53750,45000,49500,44250,42250
LowerMain,Transportation & Travel,2018,37000,33000,36250,39000,39500,45250,44000,53000,50750,44500,53750,57000
LowerMain,Transportation & Travel,2019,57250,48500,47000,53750,55250,46500,43750,43000,51750,55750,52750,56250
LowerMain,Transportation & Travel,2020,54250,49750,45000,25750,33250,30000,28250,31250,37000,38250,38000,34500
LowerMain,Transportation & Travel,2021,36500,40000,42250,39250,42750,39250,37750,41750,39250,36750,34500,37750
LowerMain,Transportation & Travel,2022,32500,29250,,,,,,,,,,
LowerMain,Tourism,2017,220500,216500,219000,220250,237000,250250,252500,241750,228500,228250,226000,228250
LowerMain,Tourism,2018,212000,204000,209000,218000,226500,236500,231000,241500,236750,221500,239250,239250
LowerMain,Tourism,2019,240000,241500,235000,232750,229250,221250,221750,212250,207250,227500,226500,239750
LowerMain,Tourism,2020,224250,222500,179250,117500,135000,172750,186250,196000,215500,218250,221000,207000
LowerMain,Tourism,2021,198250,194250,195250,162250,168750,198750,192250,219750,196000,191000,188000,201250
LowerMain,Tourism,2022,180500,193500,,,,,,,,,,
Northern BC,Accommodation,2017,1000,1000,750,750,1250,1750,1250,2000,1750,1750,1750,1750
Northern BC,Accommodation,2018,1750,2000,1500,1250,2250,2000,2000,1750,2000,1750,2500,1750
Northern BC,Accommodation,2019,1750,1750,2000,2000,1750,3750,2750,3500,2750,2750,3250,2250
Northern BC,Accommodation,2020,1500,2000,2250,2000,1250,750,1000,1000,500,1250,2000,1250
Northern BC,Accommodation,2021,1500,1000,1250,2500,1500,750,1250,1500,1250,2000,2250,2250
Northern BC,Accommodation,2022,1750,1500,,,,,,,,,,
Northern BC,FoodBeverage,2017,2500,3000,4000,3500,3500,3500,3500,4250,4000,3500,3000,3250
Northern BC,FoodBeverage,2018,4000,4250,3750,3750,3750,4750,4750,4000,4250,4000,4000,4500
Northern BC,FoodBeverage,2019,5000,4500,3000,5500,6000,5250,6500,5750,5750,5500,5500,4250
Northern BC,FoodBeverage,2020,3750,4250,4250,1750,2750,2750,3000,2750,4500,2750,2500,3250
Northern BC,FoodBeverage,2021,3750,5000,6000,4750,5500,4750,5750,3500,3500,3000,2750,4000
Northern BC,FoodBeverage,2022,2000,2500,,,,,,,,,,
Northern BC,RecreationEnter,2017,500,1000,1250,1000,1750,1000,1750,2500,2000,1750,1500,1500
Northern BC,RecreationEnter,2018,1250,2000,1500,1500,1500,1250,1500,1250,1750,1500,1250,1500
Northern BC,RecreationEnter,2019,1750,1750,2250,2000,2750,3500,3500,3250,1500,1250,1750,1500
Northern BC,RecreationEnter,2020,2000,1250,750,1250,500,1750,2750,1750,750,1000,750,500
Northern BC,RecreationEnter,2021,1000,500,1000,250,750,1500,750,1750,1250,1750,1500,1500
Northern BC,RecreationEnter,2022,1500,1000,,,,,,,,,,
Northern BC,Transportation & Travel,2017,1750,1750,1750,1750,1750,2500,3000,2000,1750,1750,2000,2000
Northern BC,Transportation & Travel,2018,1750,1250,1500,1250,1000,1000,1250,1250,750,2000,1250,1500
Northern BC,Transportation & Travel,2019,1000,1250,1750,1750,1000,1500,1000,1250,1000,1250,1500,1250
Northern BC,Transportation & Travel,2020,1250,1500,500,500,750,1000,1750,2000,2250,2500,2500,2250
Northern BC,Transportation & Travel,2021,2750,2250,2000,1500,1250,500,750,1000,1500,2750,3250,3250
Northern BC,Transportation & Travel,2022,2750,2250,,,,,,,,,,
Northern BC,Tourism,2017,5750,6750,7750,7000,8250,8750,9500,10750,9500,8750,8250,8500
Northern BC,Tourism,2018,8750,9500,8250,7750,8500,9500,9500,8250,8750,9250,9000,9250
Northern BC,Tourism,2019,9500,9250,9000,11250,11500,14000,13750,13750,11000,10750,12000,9250
Northern BC,Tourism,2020,8500,9000,7750,5500,5750,6250,8500,7500,8000,7500,7750,7250
Northern BC,Tourism,2021,9000,8750,10250,9000,9000,7500,8500,7750,7500,9500,9750,11000
Northern BC,Tourism,2022,8000,7250,,,,,,,,,,
ThompOkan & Kootenay,Accommodation,2017,8750,7250,8250,6250,6000,7500,7500,10500,8750,10500,10500,10500
ThompOkan & Kootenay,Accommodation,2018,6250,3750,5750,6000,7750,9250,10250,11250,9500,8500,5750,6500
ThompOkan & Kootenay,Accommodation,2019,5250,5750,8250,9000,5500,7750,9250,10250,7750,4250,5000,7500
ThompOkan & Kootenay,Accommodation,2020,5750,7000,8250,3500,4000,6750,7250,9250,5500,6250,3750,5250
ThompOkan & Kootenay,Accommodation,2021,3000,5500,5500,3500,6250,5500,4750,3250,2500,250,3500,4250
ThompOkan & Kootenay,Accommodation,2022,2500,5750,,,,,,,,,,
ThompOkan & Kootenay,FoodBeverage,2017,20000,23000,24750,23500,24250,23250,21000,18750,21500,21750,18750,18750
ThompOkan & Kootenay,FoodBeverage,2018,19500,19000,16000,17500,18000,21000,23000,22750,20000,20750,24750,26500
ThompOkan & Kootenay,FoodBeverage,2019,24500,23250,25250,20500,20250,23500,26250,23250,23750,22750,21750,19000
ThompOkan & Kootenay,FoodBeverage,2020,18250,19000,15000,8250,11750,18500,25250,19250,10750,14000,14750,18000
ThompOkan & Kootenay,FoodBeverage,2021,14750,15250,20500,17250,18000,20750,22500,16750,22250,23500,24750,17250
ThompOkan & Kootenay,FoodBeverage,2022,16500,13750,,,,,,,,,,
ThompOkan & Kootenay,RecreationEnter,2017,10500,11000,12000,11250,10750,10250,11000,14250,16250,13750,11500,10250
ThompOkan & Kootenay,RecreationEnter,2018,8250,9250,9500,6750,8000,9000,12250,9500,9500,10000,9750,8000
ThompOkan & Kootenay,RecreationEnter,2019,9000,9500,10750,11000,12250,11000,15000,11250,10500,11000,7750,5750
ThompOkan & Kootenay,RecreationEnter,2020,5250,7250,8000,8000,8750,8500,13250,11500,9250,8750,5750,4500
ThompOkan & Kootenay,RecreationEnter,2021,8000,8250,11500,12500,11750,16750,17000,15000,11250,10750,12750,8500
ThompOkan & Kootenay,RecreationEnter,2022,12500,11000,,,,,,,,,,
ThompOkan & Kootenay,Transportation & Travel,2017,9250,9250,11750,11750,9750,10500,10000,6750,5500,4500,5500,5750
ThompOkan & Kootenay,Transportation & Travel,2018,4500,5500,4250,7250,7500,7250,6000,6250,4750,4750,4250,4750
ThompOkan & Kootenay,Transportation & Travel,2019,4250,5500,5250,5000,5250,5750,6500,7000,9750,7250,7250,7500
ThompOkan & Kootenay,Transportation & Travel,2020,7000,5250,3750,4750,5000,4500,7750,8250,5250,4000,2250,4250
ThompOkan & Kootenay,Transportation & Travel,2021,3500,2750,3250,2750,5000,5000,5250,9250,8000,10750,7250,5000
ThompOkan & Kootenay,Transportation & Travel,2022,4500,5250,,,,,,,,,,
ThompOkan & Kootenay,Tourism,2017,48500,50500,56750,52750,50750,51500,49500,50750,52000,50500,46250,45250
ThompOkan & Kootenay,Tourism,2018,38250,37500,35500,37500,41250,46500,51500,49750,43750,44000,44500,45750
ThompOkan & Kootenay,Tourism,2019,43000,44000,49500,45500,43250,48000,57000,51750,51750,45250,41750,39750
ThompOkan & Kootenay,Tourism,2020,36250,38500,35000,24500,29500,38250,53500,48250,30750,33000,26500,32000
ThompOkan & Kootenay,Tourism,2021,29250,31750,40750,36000,41000,48000,49500,44250,44000,45250,48250,35000
ThompOkan & Kootenay,Tourism,2022,36000,35750,,,,,,,,,,
VanIsdCos,Accommodation,2017,6750,9000,7500,8250,9750,10500,10500,11250,9500,9500,10000,8750
VanIsdCos,Accommodation,2018,5500,5000,5500,4500,4000,5500,7000,6750,5000,6750,6000,6250
VanIsdCos,Accommodation,2019,7250,6000,5750,4750,5750,7000,11750,12750,11000,12000,10000,8500
VanIsdCos,Accommodation,2020,10250,8750,7250,3250,3500,6750,2750,4250,5000,4500,3000,3750
VanIsdCos,Accommodation,2021,5000,4250,4250,6500,5000,4750,7750,8500,7500,9000,5750,5750
VanIsdCos,Accommodation,2022,5750,5500,,,,,,,,,,
VanIsdCos,FoodBeverage,2017,21750,23250,20500,23500,21750,20500,23250,27500,26250,20500,22500,21750
VanIsdCos,FoodBeverage,2018,22000,18750,18500,21500,22500,20250,21750,22250,27250,22500,19250,21500
VanIsdCos,FoodBeverage,2019,23000,23750,23250,26500,25750,25500,19250,23000,26750,26750,26500,25500
VanIsdCos,FoodBeverage,2020,25250,24000,19750,7750,11250,17250,24750,20000,18500,20500,21500,19500
VanIsdCos,FoodBeverage,2021,20250,22750,24000,24250,27750,26000,25250,24750,20500,18000,18250,16500
VanIsdCos,FoodBeverage,2022,21750,23250,,,,,,,,,,
VanIsdCos,RecreationEnter,2017,11750,12250,12000,11000,11000,14000,15500,14000,13250,12750,10750,12500
VanIsdCos,RecreationEnter,2018,12000,11500,11500,11000,10750,13500,16750,17500,13250,11250,9500,7750
VanIsdCos,RecreationEnter,2019,7750,8000,8750,12250,13500,16000,15500,15250,11750,11000,10500,12000
VanIsdCos,RecreationEnter,2020,12500,14250,11500,8750,7000,9500,8750,10000,9750,7250,9250,7000
VanIsdCos,RecreationEnter,2021,7250,6250,11500,11500,9000,10250,10250,12750,9500,12000,12500,11000
VanIsdCos,RecreationEnter,2022,13000,10250,,,,,,,,,,
VanIsdCos,Transportation & Travel,2017,8250,8000,8000,7250,10000,10000,10000,11500,11000,8500,9750,9000
VanIsdCos,Transportation & Travel,2018,9500,8500,9750,9000,10500,10750,12750,12750,10750,9750,7500,9250
VanIsdCos,Transportation & Travel,2019,6750,5500,7500,8750,10000,10000,10250,9750,8000,7750,6500,7000
VanIsdCos,Transportation & Travel,2020,7750,10000,10000,7000,6000,9500,13000,9500,8500,8250,9000,10250
VanIsdCos,Transportation & Travel,2021,8250,8250,8500,9750,8500,7750,9250,9000,9500,9250,8750,7750
VanIsdCos,Transportation & Travel,2022,6500,6750,,,,,,,,,,
VanIsdCos,Tourism,2017,48500,52500,48000,50000,52500,55000,59250,64250,60000,51250,53000,52000
VanIsdCos,Tourism,2018,49000,43750,45250,46000,47750,50000,58250,59250,56250,50250,42250,44750
VanIsdCos,Tourism,2019,44750,43250,45250,52250,55000,58500,56750,60750,58000,57500,53500,53000
VanIsdCos,Tourism,2020,55750,57500,48500,26750,27750,43000,49250,43750,41750,40500,42750,40500
VanIsdCos,Tourism,2021,40750,41500,48250,52000,50250,48750,52500,55000,47000,48250,45250,41000
VanIsdCos,Tourism,2022,47000,45750,,,,,,,,,,
BC,Accommodation,2017,35000,36000,33500,34500,37250,41500,43250,46250,43750,40750,41750,39000
BC,Accommodation,2018,33500,28000,27250,31000,35250,31500,32750,38500,33000,30250,30750,30250
BC,Accommodation,2019,40000,35250,37250,35750,33500,34000,38250,40500,36500,40750,32500,33250
BC,Accommodation,2020,32500,33250,30750,12500,17500,24000,20750,27250,26250,24500,29250,29500
BC,Accommodation,2021,25500,24500,27500,31500,23250,29500,34500,40250,32250,32000,28500,29500
BC,Accommodation,2022,23250,21000,,,,,,,,,,
BC,FoodBeverage,2017,141500,142500,137000,148250,146500,150250,152000,147000,143250,141250,138500,142250
BC,FoodBeverage,2018,138500,144000,144750,147250,154000,167000,163250,162000,166250,162000,161250,167000
BC,FoodBeverage,2019,156750,156750,150750,154000,151750,150750,153000,148000,150500,155750,153000,163750
BC,FoodBeverage,2020,148500,154000,113750,71250,81000,131000,157500,154500,146000,148000,147500,145250
BC,FoodBeverage,2021,138000,134500,134500,113500,124250,142250,141500,141250,136500,131000,135500,134750
BC,FoodBeverage,2022,136000,140000,,,,,,,,,,
BC,RecreationEnter,2017,89000,90250,99250,89750,95000,102750,104500,107000,108250,99750,98250,100750
BC,RecreationEnter,2018,89750,83000,82250,82000,84250,86000,97750,93000,86250,79250,84000,77000
BC,RecreationEnter,2019,78500,92750,95500,89000,89750,102250,105500,96250,78000,80250,86000,80500
BC,RecreationEnter,2020,81250,82500,72250,55750,59500,64250,73500,69250,77750,78750,74500,68000
BC,RecreationEnter,2021,69000,71250,82750,68250,72500,86750,79500,91500,73250,78500,81750,79250
BC,RecreationEnter,2022,75250,85250,,,,,,,,,,
BC,Transportation & Travel,2017,64500,64250,70750,66250,79500,79500,81500,75500,64750,65750,63000,60500
BC,Transportation & Travel,2018,54500,49500,53250,57250,59250,65250,65000,74500,68750,62500,68500,74000
BC,Transportation & Travel,2019,71500,62500,63000,71250,72000,65250,63000,62250,72000,73500,70500,74750
BC,Transportation & Travel,2020,73000,68250,60750,39500,46750,46500,51750,52750,54250,54750,53750,53750
BC,Transportation & Travel,2021,54250,55750,58000,54750,58500,53750,53250,61500,59000,60000,55000,55000
BC,Transportation & Travel,2022,47500,44500,,,,,,,,,,
BC,Tourism,2017,330000,333000,340500,338750,358250,374000,381250,375750,360000,347500,341500,342500
BC,Tourism,2018,316250,304500,307500,317500,332250,349750,358750,368000,354250,334000,344500,348250
BC,Tourism,2019,346750,347250,346500,350000,347000,351750,359250,347000,337000,350250,342000,352250
BC,Tourism,2020,335250,338000,277500,179000,204750,265750,303500,303750,304250,306000,304500,296500
BC,Tourism,2021,286750,286000,302750,268000,278750,312000,308750,334500,301000,301500,300750,298500
BC,Tourism,2022,282000,290750,,,,,,,,,,
